,HC_ID,GEOID,dist,trvl_time
157244,H100,48439111008,0,-999.0
157247,H100,48085030504,0,-999.0
157250,H100,48085031659,0,-999.0
157251,H100,48085030408,0,-999.0
157252,H100,48085030403,0,-999.0
157253,H100,48121021630,0,-999.0
157262,H100,48439113907,0,-999.0
157264,H100,48439100602,0,-999.0
157296,H100,48099010503,0,-999.0
157297,H100,48467950500,0,-999.0
157300,H100,48467950300,0,-999.0
157301,H100,48467950400,0,-999.0
157305,H100,48467950100,0,-999.0
157306,H100,48467950200,0,-999.0
157307,H100,48027023202,0,-999.0
157310,H100,48027020202,0,-999.0
157312,H100,48183010700,0,-999.0
157313,H100,48027020401,0,-999.0
157314,H100,48027023203,0,-999.0
157316,H100,48439114206,0,-999.0
157317,H100,48439113812,0,-999.0
157318,H100,48439113921,0,-999.0
157320,H100,48121020106,0,-999.0
157321,H100,48121021525,0,-999.0
157322,H100,48121021404,0,-999.0
157323,H100,48121020309,0,-999.0
157324,H100,48121020307,0,-999.0
157325,H100,48121021750,0,-999.0
157326,H100,48121021624,0,-999.0
157327,H100,48121021742,0,-999.0
157328,H100,48121020111,0,-999.0
157329,H100,48121020203,0,-999.0
157330,H100,48121020103,0,-999.0
157331,H100,48121020107,0,-999.0
157334,H100,48439113928,0,-999.0
157335,H100,48439113923,0,-999.0
157336,H100,48121021743,0,-999.0
157338,H100,48231961503,0,-999.0
157339,H100,48231961502,0,-999.0
157345,H100,48439113922,0,-999.0
157352,H100,48221160210,0,-999.0
157354,H100,48439114207,0,-999.0
157362,H100,48121020110,0,-999.0
157368,H100,48439110809,0,-999.0
157371,H100,48439110600,0,-999.0
157372,H100,48439110806,0,-999.0
157381,H100,48439113707,0,-999.0
157382,H100,48439110701,0,-999.0
157385,H100,48439113911,0,-999.0
157386,H100,48439114203,0,-999.0
157387,H100,48439104900,0,-999.0
157395,H100,48439113813,0,-999.0
157396,H100,48439102602,0,-999.0
157397,H100,48439102601,0,-999.0
157398,H100,48439113927,0,-999.0
157400,H100,48439113919,0,-999.0
157404,H100,48121021731,0,-999.0
157405,H100,48121021729,0,-999.0
157406,H100,48121021726,0,-999.0
157407,H100,48439113924,0,-999.0
157408,H100,48439113925,0,-999.0
157410,H100,48439113221,0,-999.0
157411,H100,48145000800,0,-999.0
157415,H100,48027022104,0,-999.0
157416,H100,48027020201,0,-999.0
157417,H100,48027021904,0,-999.0
157418,H100,48027022502,0,-999.0
157419,H100,48027022403,0,-999.0
157420,H100,48027020402,0,-999.0
157421,H100,48221160207,0,-999.0
157427,H100,48439105008,0,-999.0
157428,H100,48439105007,0,-999.0
157430,H100,48439105513,0,-999.0
157431,H100,48027022404,0,-999.0
157432,H100,48027022501,0,-999.0
157433,H100,48027022105,0,-999.0
157434,H100,48221160206,0,-999.0
157436,H100,48439113634,0,-999.0
157437,H100,48439111018,0,-999.0
157440,H100,48121020112,0,-999.0
157441,H100,48121020503,0,-999.0
157442,H100,48121021201,0,-999.0
157443,H100,48121021407,0,-999.0
157444,H100,48121021725,0,-999.0
157451,H100,48027023201,0,-999.0
157452,H100,48027022405,0,-999.0
157456,H100,48439113918,0,-999.0
157457,H100,48439111017,0,-999.0
157463,H100,48439113917,0,-999.0
157468,H100,48439123200,0,-999.0
157469,H100,48439123000,0,-999.0
157478,H100,48439110805,0,-999.0
157485,H100,48121021722,0,-999.0
157488,H100,48121021749,0,-999.0
157489,H100,48121021751,0,-999.0
157490,H100,48121021752,0,-999.0
157491,H100,48121021520,0,-999.0
157492,H100,48121021800,0,-999.0
157502,H100,48035950500,0,-999.0
157508,H100,48143950700,0,-999.0
157509,H100,48143950500,0,-999.0
157510,H100,48143950600,0,-999.0
157511,H100,48143950100,0,-999.0
157516,H100,48289950200,0,-999.0
157518,H100,48439104201,0,-999.0
157528,H100,48439113916,0,-999.0
157532,H100,48439105001,0,-999.0
157533,H100,48439111013,0,-999.0
157536,H100,48439105006,0,-999.0
157537,H100,48439105201,0,-999.0
157538,H100,48439105204,0,-999.0
157539,H100,48439105205,0,-999.0
157545,H100,48439105403,0,-999.0
157547,H100,48439105405,0,-999.0
157548,H100,48185180302,0,-999.0
157557,H100,48439105508,0,-999.0
157558,H100,48439105510,0,-999.0
157566,H100,48331950100,0,-999.0
157567,H100,48331950300,0,-999.0
157568,H100,48331950500,0,-999.0
157569,H100,48085031003,0,-999.0
157570,H100,48085030203,0,-999.0
157571,H100,48085030302,0,-999.0
157572,H100,48085030603,0,-999.0
157573,H100,48085030529,0,-999.0
157576,H100,48085031202,0,-999.0
157577,H100,48085030201,0,-999.0
157578,H100,48085031201,0,-999.0
157580,H100,48085031004,0,-999.0
157581,H100,48085030305,0,-999.0
157582,H100,48085030303,0,-999.0
157583,H100,48085030304,0,-999.0
157584,H100,48085030801,0,-999.0
157585,H100,48085030702,0,-999.0
157586,H100,48085030701,0,-999.0
157587,H100,48085030605,0,-999.0
157588,H100,48085030531,0,-999.0
157589,H100,48085030525,0,-999.0
157590,H100,48085030526,0,-999.0
157591,H100,48085030516,0,-999.0
157592,H100,48085030523,0,-999.0
157593,H100,48085030511,0,-999.0
157594,H100,48085031411,0,-999.0
157595,H100,48363000300,0,-999.0
157596,H100,48363000400,0,-999.0
157597,H100,48085030510,0,-999.0
157598,H100,48085030508,0,-999.0
157599,H100,48085030507,0,-999.0
157600,H100,48085030509,0,-999.0
157603,H100,48085031660,0,-999.0
157605,H100,48251130100,0,-999.0
157615,H100,48085030601,0,-999.0
157620,H100,48085030505,0,-999.0
157621,H100,48085031661,0,-999.0
157622,H100,48085031408,0,-999.0
157623,H100,48085030514,0,-999.0
157627,H100,48085031405,0,-999.0
157632,H100,48085031664,0,-999.0
157633,H100,48085031663,0,-999.0
157634,H100,48439100101,0,-999.0
157635,H100,48085031100,0,-999.0
157636,H100,48085030900,0,-999.0
157639,H100,48439106509,0,-999.0
157640,H100,48439110906,0,-999.0
157641,H100,48439113403,0,-999.0
157643,H100,48455950200,0,-999.0
157644,H100,48455950300,0,-999.0
157651,H100,48439114204,0,-999.0
157652,H100,48439102700,0,-999.0
157653,H100,48439113811,0,-999.0
157654,H100,48005000101,0,-999.0
157655,H100,48085030528,0,-999.0
157656,H100,48085030527,0,-999.0
157657,H100,48085030301,0,-999.0
157658,H100,48085030404,0,-999.0
157672,H100,48367140407,0,-999.0
