"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"5883","439","1400000US48029121903","Census Tract 1219.03, Bexar County, Texas"
"3176","357","1400000US48029121904","Census Tract 1219.04, Bexar County, Texas"
"5438","550","1400000US48029121905","Census Tract 1219.05, Bexar County, Texas"
"5583","520","1400000US48029121906","Census Tract 1219.06, Bexar County, Texas"
"13024","926","1400000US48029121907","Census Tract 1219.07, Bexar County, Texas"
"2709","249","1400000US48029121908","Census Tract 1219.08, Bexar County, Texas"
"8331","743","1400000US48029121909","Census Tract 1219.09, Bexar County, Texas"
"7385","917","1400000US48029121910","Census Tract 1219.10, Bexar County, Texas"
"1623","271","1400000US48029130200","Census Tract 1302, Bexar County, Texas"
"3360","481","1400000US48029130300","Census Tract 1303, Bexar County, Texas"
"4081","438","1400000US48029130401","Census Tract 1304.01, Bexar County, Texas"
"4197","582","1400000US48029130402","Census Tract 1304.02, Bexar County, Texas"
"4806","672","1400000US48029130500","Census Tract 1305, Bexar County, Texas"
"3878","647","1400000US48029130600","Census Tract 1306, Bexar County, Texas"
"2636","325","1400000US48029130700","Census Tract 1307, Bexar County, Texas"
"6068","744","1400000US48029130800","Census Tract 1308, Bexar County, Texas"
"5246","643","1400000US48029130900","Census Tract 1309, Bexar County, Texas"
"5206","630","1400000US48029131000","Census Tract 1310, Bexar County, Texas"
"2651","375","1400000US48029131100","Census Tract 1311, Bexar County, Texas"
"2806","475","1400000US48029131200","Census Tract 1312, Bexar County, Texas"
"6156","592","1400000US48029131300","Census Tract 1313, Bexar County, Texas"
"11090","975","1400000US48029131401","Census Tract 1314.01, Bexar County, Texas"
"3023","317","1400000US48029131402","Census Tract 1314.02, Bexar County, Texas"
"3119","289","1400000US48029131503","Census Tract 1315.03, Bexar County, Texas"
"4824","481","1400000US48029131504","Census Tract 1315.04, Bexar County, Texas"
"5790","753","1400000US48029131505","Census Tract 1315.05, Bexar County, Texas"
"3859","453","1400000US48029131506","Census Tract 1315.06, Bexar County, Texas"
"6326","683","1400000US48029131507","Census Tract 1315.07, Bexar County, Texas"
"5645","529","1400000US48029131601","Census Tract 1316.01, Bexar County, Texas"
"6056","450","1400000US48029131606","Census Tract 1316.06, Bexar County, Texas"
"5928","452","1400000US48029131608","Census Tract 1316.08, Bexar County, Texas"
"6725","732","1400000US48029131609","Census Tract 1316.09, Bexar County, Texas"
"5029","487","1400000US48029131610","Census Tract 1316.10, Bexar County, Texas"
"873","75","1400000US48029131611","Census Tract 1316.11, Bexar County, Texas"
"1940","249","1400000US48029131612","Census Tract 1316.12, Bexar County, Texas"
"4066","382","1400000US48029131613","Census Tract 1316.13, Bexar County, Texas"
"4009","410","1400000US48029131614","Census Tract 1316.14, Bexar County, Texas"
"7458","877","1400000US48029131615","Census Tract 1316.15, Bexar County, Texas"
"1129","191","1400000US48029131700","Census Tract 1317, Bexar County, Texas"
"2116","188","1400000US48029131801","Census Tract 1318.01, Bexar County, Texas"
"4327","463","1400000US48029131802","Census Tract 1318.02, Bexar County, Texas"
"1261","209","1400000US48029140100","Census Tract 1401, Bexar County, Texas"
"3377","433","1400000US48029140200","Census Tract 1402, Bexar County, Texas"
"3590","381","1400000US48029140300","Census Tract 1403, Bexar County, Texas"
"3631","405","1400000US48029140400","Census Tract 1404, Bexar County, Texas"
"4234","483","1400000US48029140500","Census Tract 1405, Bexar County, Texas"
"2861","288","1400000US48029140600","Census Tract 1406, Bexar County, Texas"
"4838","303","1400000US48029140700","Census Tract 1407, Bexar County, Texas"
"5124","453","1400000US48029140800","Census Tract 1408, Bexar County, Texas"
"1949","227","1400000US48029140900","Census Tract 1409, Bexar County, Texas"
"3531","496","1400000US48029141000","Census Tract 1410, Bexar County, Texas"
"4194","589","1400000US48029141101","Census Tract 1411.01, Bexar County, Texas"
"3319","572","1400000US48029141102","Census Tract 1411.02, Bexar County, Texas"
"7628","834","1400000US48029141200","Census Tract 1412, Bexar County, Texas"
"6851","625","1400000US48029141300","Census Tract 1413, Bexar County, Texas"
"5986","481","1400000US48029141402","Census Tract 1414.02, Bexar County, Texas"
"4803","539","1400000US48029141403","Census Tract 1414.03, Bexar County, Texas"
"5953","457","1400000US48029141404","Census Tract 1414.04, Bexar County, Texas"
"4889","433","1400000US48029141600","Census Tract 1416, Bexar County, Texas"
"5811","641","1400000US48029141700","Census Tract 1417, Bexar County, Texas"
"3880","301","1400000US48029141800","Census Tract 1418, Bexar County, Texas"
"4510","639","1400000US48029141900","Census Tract 1419, Bexar County, Texas"
"5588","504","1400000US48029150100","Census Tract 1501, Bexar County, Texas"
"4845","651","1400000US48029150300","Census Tract 1503, Bexar County, Texas"
"4946","754","1400000US48029150400","Census Tract 1504, Bexar County, Texas"
"4595","373","1400000US48029150501","Census Tract 1505.01, Bexar County, Texas"
"3595","528","1400000US48029150502","Census Tract 1505.02, Bexar County, Texas"
"4959","493","1400000US48029150600","Census Tract 1506, Bexar County, Texas"
"7360","890","1400000US48029150700","Census Tract 1507, Bexar County, Texas"
